preference,name,category,caste,age,gender,occupation,education,year_joined,phone,email,criminal_record,rationale,strengths,weaknesses,proposers,positions_held,elections_contested
1,"Rajender Kumar Chaudhary",OBC,Jat,54,Male,Advocate/Farmer,"BA, LLB, LLM (Pursuing)",1985,9012239999,rajender.chaudhary@example.com,No adverse records,"Belief in Congress ideology; born in Congress family; pain for every backward class; true soldier of the party","Belongs to family with Congress history since 1937; college-days NSUI; good hold in area and administration","No significant weaknesses noted","Ram Singh Saini (Ex Home Minister, 5x MLA); Furkan Ahmed (MLA); Dr. Rakam Singh (Ex State Minister)","NSUI Vice President (1990-1993); Secretary IYC (1993-1994); Vice President Roorkee (2004-2005); District President (current)","District President election; Panchayat Election"
2,"Sudhir Shandilya",General,Brahmin,49,Male,Business/Farmer,MA,1996,9410111515,sudhir@example.com,Clean,"Country troubled due to wrong policies of BJP; only Congress can provide relief and strengthen every section","Best District President Award by NSUI 2005; Vice President Kisan Congress 2020; working in field for Congress","No weaknesses identified","Senior party leaders","City President NSUI (1996-1998); NSUI District President (1998-2007)","No elections contested"
3,"Ravinder Khanna",General,Punjabi,62,Male,Business,High School,1979,9837268665,ravinder.khanna@example.com,No records,"Want to add more people and groups in party and to rise party","5 times Independent councilor from different wards; good worker of party","Limited formal education","Local party leadership","Independent Councilor Ward 20, Ward 14, Ward 7 (1995-2019)","Councilor (Independent) 5 times - 1995, 2003, 2008, 2013, 2019"
4,"Ritu Kandiyal",General,Thakur,44,Female,Business,BA,2000,9897427777,ritu.k@example.com,Clean,"Working in Congress party from last 25 years; wants to add more ladies in party","Good hold in ladies and in youth; District President of INTUC","Needs to build wider coalition","Women party leaders","Vice President Mahila Congress (2003-2006); State GS (2011-2013)","No elections contested"
5,"Aadesh Kumar Saini",OBC,Saini,44,Male,Job,"MSc, M Phil",2000,9758141305,aadesh.saini@example.com,No cases,"Family is Congress family from last 50 years; always participates in every Congress programme","Doing job in college, so mostly youth is connected with him","Limited political experience","Party workers","Active member","No elections contested"
6,"Melaram",OBC,Prajapati,57,Male,Business,10th,1990,9760010373,melaram@example.com,Clean,"Connected with farmer and village people, wants to make strong the party","Good hold in different communities; very simple in nature and having helping hands","Educational limitations","Rural leaders","Active party worker","District Panchayat; Council"
